Airport Code,Airport Name,City Name,coordinates
364,MPZ,Municipal,Mt Pleasant,"40.966667, -91.55"
365,EAU,Chippewa Valley Regional Airport,"Eau Claire, WI","44.865833, -91.484167"
366,OGG,Kahului,"Maui, HI","20.898611, -156.430556"
367,OTZ,Kotzebue,Kotzebue,"66.866667, -162.633333"
368,CBF,Municipal,Council Bluffs,"41.266667, -95.866667"
369,IDI,ndiana County Airport,"Indiana, PA","40.632222, -79.105556"
370,SUS,Spirit Of St Louis,St Louis,"38.662222, -90.651944"
371,BKE,Baker,Baker,"44.833333, -117.816667"
372,BTV,Burlington International,Burlington,"44.471944, -73.153333"
373,AHH,Municipal,Amery,"45.283333, -92.366667"
374,PRB,Paso Robles,Paso Robles,"35.666667, -120.633333"
375,ASX,Ashland,Ashland,"46.548611, -90.918889"
376,HSV,Huntsville International - Carl T. Jones Field,"Huntsville, AL","34.637222, -86.775"
377,SAT,San Antonio International,San Antonio,"29.533333, -98.466667"
378,TKJ,Tok,Tok,"53.333333, 6.35"
379,SSF,Stinson Municipal,San Antonio,"6.233333, -76.733333"
380,DRT,International,Del Rio,"29.366667, -100.916667"
381,CGX,Merrill C Meigs,Chicago,"41.858889, -87.608333"
382,BAR,Baker Aaf,Baker Island,"0.216667, -176.516667"
383,CEW,Bob Sikes,Crestview,"30.783333, -86.516667"
384,ZME,Metropark Rail,Newark,"40.919444, 74.169444"
385,TOG,Togiak Village,Togiak Village,"-0.333333, 122.0"
386,ANC,Ted Stevens Anchorage International Airport,Anchorage,"61.174444, -149.996389"
387,KSR,Federal No 1,Sandy River,"51.0, -96.383333"
388,LAL,Municipal,Lakeland,"28.083333, -81.95"
389,AXB,Alexandria Bay,Alexandria Bay,"44.2525, -75.901389"
390,BFG,Bullfrog Basin,Bullfrog Basin,"37.55, -110.708333"
391,CJN,Gillespie Field,El Cajon,"32.826111, -116.9725"
392,WDY,Kodiak Fss,Kodiak,"56.866667, -1.25"
393,SJN,St Johns,St Johns,"34.518889, -109.3775"
394,HCB,Shoal Cove,Shoal Cove,"55.458333, -131.283333"
395,SUD,Stroud,Stroud,"35.733333, -96.65"
396,OCH,A L Mangham Jr. Regional,"Nacogdoches, TX","31.6, -94.65"
397,MGJ,Orange County,Montgomery,"41.51, -74.264722"
398,SMK,St Michael,St Michael,"63.483333, -162.016667"
399,AVL,Asheville Regional Airport,Fletcher,"35.436111, -82.541667"
400,IVH,Ivishak,Ivishak,"69.4, -148.25"
401,PNU,Panguitch,Panguitch,"37.833333, -112.383333"
402,CFV,Municipal,Coffeyville,"17.533333, -88.166667"
403,GAG,Gage,Gage,"36.316667, -99.75"
404,MSP,Minneapolis - St. Paul Intl,Minneapolis,"44.883333, -93.216944"
405,WSX,Westsound,Westsound,"48.666667, -122.883333"
406,MMU,Municipal,Morristown,"40.8, -74.416667"
407,RDG,Municipal/Spaatz Fld,Reading,"40.383333, -75.966667"
408,AFN,Municipal,Jaffrey,"42.8, -72.0"
409,KPK,Parks SPB,Parks,"57.416667, -155.9"
410,MQI,Quincy,Quincy,"42.25, -71.0"
411,DSM,Des Moines International,"Des Moines, IA","41.533889, -93.663056"
412,KPT,Jackpot,Jackpot,"41.966667, -114.666667"
413,MHE,Municipal,Mitchell,"43.766667, -98.033333"
414,RAL,Riverside Municipal,Riverside,"33.95, -117.433333"
415,ISO,Stallings Field,Kinston,"35.333333, -77.616667"
416,AKC,Fulton International,Akron/Canton,"-26.8, 23.75"
417,IMM,Immokalee,Immokalee,"26.416667, -81.416667"
418,CNH,Municipal,Claremont,"43.366667, -72.366667"
419,RLA,National,Rolla,"38.133333, -91.783333"
420,BXK,Buckeye Municipal,Buckeye,"33.366667, -112.583333"
421,CFK,Chefornak,"Chefornak, AK","60.149167, -164.285556"
422,COS,Colorado Springs,Colorado Springs,"38.816667, -104.716667"
423,FOD,Fort Dodge Regional,"Fort Dodge, IA","42.551111, -94.191944"
424,MPV,Edward F Knapp State,"Montpelier, VT","44.203611, -72.562222"
425,BIF,Biggs Aaf,El Paso,"31.849444, -106.38"
426,STJ,Rosecrans Memorial,St Joseph,"39.766667, -94.916667"
427,TLA,Teller,Teller,"65.240278, -166.339444"
428,ADR,Andrews,Andrews,"33.45, -79.566667"
429,GUF,Edwards,Gulf Shores,"30.289722, -87.671667"
430,GUY,Guymon,Guymon,"36.683333, -101.483333"
431,EMK,Emmonak,Emmonak,"62.766667, -164.5"
432,FRP,Fresh Water Bay,Fresh Water Bay,"57.845833, -135.025"
433,BLD,Boulder City,Boulder City,"8.734444, -9.798611"
